====== 캐릭터 사운드 파일명 규격 ======
여기 있는 사운드는 모두 그 사운드의 파일 이름에 따라 적어놓았다. 다시 말해, 'ana005' 는 "Ach, I've never seen somethin' so ugly, I've not."의 사운드 파일 이름이다. 그리고, 그 사운드마다 '무작위, 참여 전' 이라는 식의 약간의 설명을 적어놓았다. 그리고 물론, 그 소리 그대로 적어놓았다. (몇 개의 소리는 어디에 사용되는지 알 수 없어 물음표로 표시해두었다)

게다가, 몇 개의 사운드는 "대화가 연결" 되는 사운드이다. 즉, 한 캐릭터가 다른 캐릭터에게 어떤 말을 하게 되면, 계속 대답하는 식으로 대화가 이어지게 된다. 이러한 경우, 연결되는 사운드를 적어놓았다.

안나의 경우에 대해서만 분석이 되어있으며, 아마 다른 캐릭터 추가는 없을 듯 하다. 참고만 하도록 하자.

^ 파일명 ^ 대사가 나오는 상황 ^ 대사 내용 ^
| ANA005 | 무작위, 참여 전 | "Ach, I've never seen somethin' so ugly, I've not." |
| ANA512C | 무명인이 살아있을 때 | "Hmmm, thought I'd lost yet that time. Not that I care, mind you." |
| ANA518A | 실패했을 때 | "Failed." |
| ANA520F | 전투 기합 ? | "Time to kick some back." |
| ANA522A | 백스탭 | "Backstab." |
| ANA522D | 백스탭 | "Backstab." |
| ANA523B | ?? | "Left yerself exposed, ya eejit." |
| ANA524B | ?? | "Left yerself wide open." |
| ANA525F | 함정 해제 | "Disarmed it." |
| ANA526C | ?? | "Oof, dolt thing." ??? |
| ANA530C | 방해됨 | "Cannae run with this stuff." |
| ANA533C | 방해됨 (더 많이) | "Carrying too much to move." |
| ANA542C | 그림자가 남았을 때 | "Left the Shadows." |
| ANA545B | Bash | "Bashed it inna half, don't know my own strength." |
| ANA550B | Failed to Bash | "Can't force it!" |
| ANA551A | 백스탭 실패 | "I can't backstab with this clumsy thing." |
| ANA552A | ?? | "Already ??????? that one is." |
| ANA554E | ?? | "Ach, messed up." |
| ANA555A | 훔치기 실패 | "Not this time." |
| ANA559E | 훔치기 실패 | "My pack's too full to pick his pocket." |
| ANA560B | 효과 없는 무기 | "My dagger's not workin' on this thing." |
| ANA565A | 노르돔에게 | "No, it's for scratchin' my back, ye soddin' box!" |
| ANA565BC | 노르돔에게 ? | "Uhh." |
| ANA566C | 노르돔에게 | "What kinda stupid question's that, ya pikin' sod box?" |
| ANA567E | To ?? | "What?!?" |
| ANA568C | To ?? | "Leave 'im alone already, ya don't know 'im." |
| ANA569A | 모트에게 ? | "If you shut your trap, then I'll stop waving my tail." |
| ANA570C | 모트에게 ? | "Oh yeah, you trying to sit in my lap would make a grand tale.... a short one." |
| ANA571B | To ?? | "Oh, aye, it could... hurt ya, that is." |
| ANA572C | To ?? | "Oh, aye, up your bone box to rip out your brains." |
| ANA573A | To ?? | "No, only to you." |
| ANA574A | 모트에게 | "Keep up yer chatter skull, and I'll be seein' what you have in yer veins." |
| ANA575BD | 모트에게 | "Find a way, skull." |
| ANA575F | 모트에게 | "Stand away from me, Morte." |
| ANA576B | 모트에게 | "What are you looking at, skull?" |
| ANA576BA | 모트에게 ? | "That tongue o' yers is gonna get yer nose broken." |
| ANA577A | 모트에게 ? | "That tongue o' yers is gonna get yer nose broken." |
| ANA578A | 모트에게 ? | "Oh, if I were you, I'd be prepared to pick up yer teeth." |
| ANA578AA | 모트에게 | "Hey Morte! Ya want the good news? Yer goin' bald." |
| ANA579A | 여러 번 선택했을 때 ? | "Aye? What is it ya want?" |
| ANA579B | 여러 번 선택했을 때 ? | "Aye? What is it ya wanted?" |
| ANA583A | ?? | "What can change the nature of a man?" |
| ANA583D | ?? | "What can change the nature of a man?" |
| ANA583G | ?? | "What can change the nature of a man??" |
| ANA583I | ?? | "What can change the nature of a man?" |
| ANA583K | ?? | "What can change the nature of a man?" |
| ANA583M | ?? | "What can change the nature of a man?" |
| ANA583O | ?? | "What can change the nature of a man?" |
| ANA584B | 무명인에 대해 | "He matters more to me, than my life." |
| ANA585D | 무명인에 대해 | "He matters more to me, than my life." |
| ANA586A | ?? | "Ach, I hope a hound litters in your bedrobe." |
| ANA588A | To ?? | "Why don't ye go rot with an Aoskan (?) hound." |
| ANA591A | Torment | "Torment." |
| ANA591B | Torment | "Torment." |
| ANA591C | Torment | "Torment." |
| ANA592A | Torment | "Torment." |
| ANA592B | Torment | "Torment." |
| ANA593A | 모트에게 ? | "How'd ya even get a chance to take a breath, when yer talkin' so much?" |
| ANA594A | To ?? | "Donnae be fooled by that Succubus. She's interested in you, cause of the shape of yer neck. It's just right for her to sink her teeth into. |
| ANA595A | 모트에게 | "If ye need to go somewhere, skull, don't let us keep ye." |
| ANA595BA | 모트에게 ? | "I've several names for you. None of them fit for polite company." |
| ANA597D | 모트에게 | "Huh. I wonder how much copper ye'd be worth to the Dusties, Skull." |
| ANA599A | 모트에게 | "Death's too good for you, Skull." |
| ANA600A | 모트에게 | "Those eyes rest on me one more time, Skull, and they'll be resting on the ground." |
| ANA600BB | To ?? | "Oh now (?) you're one to talk." |
| ANA601A | 모트에게 | "Skull, if you don't keep yer eyes to yerself, I'm takin' 'em." |
| ANA601BB | To ?? | "Yer a right wee skunner (?)" |
| ANA602A | To ?? | "I donnae trust that succubus, she's a fiend so she is. Ah, they're all alike, waiting for ya to drop yer guard before sinking her teeth into yer neck. Don't ye be takin' yer eye off dat slat. She'll turn on ya as faster than ya can blink. All fiends are like that, so they are." |
| ANA602BA | ?? | "Oh, aye, but the good part. She looks like she's got a bad part, she does." |
| ANA603A | 그레이스가 참여할 때 | "Oh Mistress High and Mighty'll be joining us? What'll we be needin' her for?" |
| ANA603BA | 그레이스에 대해 | "I wish she would Fall from great height. I might even bump her off mahself." |
| ANA604A | 그레이스에게 | "So... how long will you be travelling with us Succubus?" |
| ANA604BA | 그레이스에게 | "Well, yer not permitted. I don't trust ye." |
| ANA605A | 그레이스에게 | "So, uh, when are ya headin' back to yer knockin' shop, Succubus?" |
| ANA605BA | 그레이스에게 | "Well...? It's where ye belong, so maybe ye should!" |
| ANA606A | 그레이스에게 | "You'd better watch yerself Succubus. You step outta line, start huntin' for souls, you'll catch me blades." |
| ANA606BA | 그레이스에게 | "Well, I would take you at your word, but since you Succubi are all perfumed, lying harlots... I won't." |
| ANA606CA | 그레이스에게 | "You just keep away from me. Fact, maybe you should keep away from all of us." |
| ANA607C | 모트에게 | "Ya know, Skull, yer gonna be doin' yer grinnin' on the tip of a pike, one of these days. Aye, and that will be the least o' yer worries when I'm through with ya!" |
| ANA608A | 그레이스에게 | "How much longer are ye gonna be draggin' yerself with us, Succubus?" |
| ANA608BB | 그레이스에게 | "Jealous? I'm not jealous! I don't even know how to spell 'jealous.' I don't trust ye... none of us do." |
| ANA609A | 떠날 때/그레이스 | "I've had enough o' you and her. Go on, travel with her then, if ye like her company, I'll have nothin' more to do with ye." |
| ANA609BA | 그레이스에게 | "Oh don't you, 'Annah look' me, ya black hearted harlot! I'll carve ye so I will! Always puttin' on yer airs with yer fine clothes and yer nose up in the air. Had enough o' ye! Ye can burn fer all I care!" |
| ANA610A | 모트에게 | "And if ye weren't yerself all the time, ye might be a fine skull too!" |
| ANA611A | 모트에게 | "Play the wise fellow with me again, skull, and I'll shove yer head up yer arse!" |
| ANA613C | To ?? | "Oh listen to ye, not hard to see why ya up an' left." |
| ANA614B | To ?? | "Accent? What are ye on about?" |
| ANA616B | 모트에게 ? | "If I were you, I'd learn to latch my Bone Box." |
| ANA617A | 모트에게 ? | "I'd stop now, if I were you." |
| ANA618A | 모트에게 | "Many a man's tongue's broke his nose, skull." |
| ANA619 | 모트에게 | "Oh sweet sufferin'! Powers, skull! Don't you ever get tired of hearin' yerself jabber?" |
| ANA620B | 모트에게 | "It lets my skin breath, ya eejit." |
| ANA621B | 모트에게 | "I'll never tell him how I feel, nor shall you prattle on to him about it. There's a mark o' doom on 'im, and I'll not sway him from his path. D'you hear me skull?" |
| ANA622B | 모트에게 | "Watch yer bone box, skull, don't be takin' a name in vain like that!" |
| ANA622CA | 모트에게 | "Are you tryin' to get us all carved to pieces? Don't you be temptin' fate with that, skull!" |
| ANA624A | 모트에게 | "Ah, serves ya right, skull, ya sure irritate the rest of us enough." |
| ANA625A | 그레이스에게 | "I've got nothing to say to you, Succubus." |
| ANA626A | 그레이스에게 | "Mind yer own business, Succubus, I've nothin' to say to ya." |

{{tag>플레인스케이프_토먼트}}
